tweet_id,created_at,text,engagement_score,sentiment,style,topics
1901633468208967702,2025-03-17T13:55:24.000000Z,@JDVance 💯,1399,neutral,conversational,
1901624569716150280,2025-03-17T13:20:02.000000Z,"The list of “enemies” on the right or left has changed, as the left is now pro war and has captured the judiciary, but the general principle is timeless
 https://t.co/fN1abDrZx5",23541,neutral,reference,left
1901617443853791642,2025-03-17T12:51:43.000000Z,@PeterSweden7 This is crazy,2214,neutral,conversational,crazy
1901614505672515881,2025-03-17T12:40:03.000000Z,"The very worst judges – those who repeatedly flout the law – should at least be put to an impeachment vote, whether that vote succeeds or not.",37556,negative,standard,
1901611544988819655,2025-03-17T12:28:17.000000Z,Yeah,66027,neutral,standard,
1901611272782639599,2025-03-17T12:27:12.000000Z,Sounds familiar,21112,neutral,standard,
1901532081844302082,2025-03-17T07:12:31.000000Z,🔥🔥,128945,neutral,standard,
1901522313855815728,2025-03-17T06:33:42.000000Z,https://t.co/BCZu9CBw3T,70000,neutral,reference,
1901483973668225312,2025-03-17T04:01:21.000000Z,@GuntherEagleman @dbongino Great,3282,positive,conversational,
1901483632994197853,2025-03-17T04:00:00.000000Z,@Pro__Trading @jonfavs Dems hate losing voters. That’s his real issue.,1482,negative,conversational,
1901470670774518086,2025-03-17T03:08:30.000000Z,Yes,163651,neutral,standard,yes
1901470303756144847,2025-03-17T03:07:02.000000Z,@BasedMikeLee ❤️,2742,neutral,conversational,
1901469809688166486,2025-03-17T03:05:04.000000Z,https://t.co/MAkwXVYBqQ,98336,neutral,reference,
1901469431206703402,2025-03-17T03:03:34.000000Z,@amuse Yup,1607,neutral,conversational,
1901462857557979181,2025-03-17T02:37:27.000000Z,@visegrad24 Wow,1889,neutral,conversational,wow
1901447128175480971,2025-03-17T01:34:57.000000Z,🇺🇸🇺🇸,103278,neutral,standard,
1901415777489592456,2025-03-16T23:30:22.000000Z,"❤️🚀🚀❤️
 https://t.co/aAkJRKsu1Q",433531,neutral,reference,
1901415251330912324,2025-03-16T23:28:17.000000Z,"Whatever you think the rules should be, they should be consistent for all people and countries",21779,negative,standard,people
1901414619081580624,2025-03-16T23:25:46.000000Z,Valid question,174573,neutral,standard,
1901414482964099238,2025-03-16T23:25:13.000000Z,@visegrad24 They are in for a very rude awakening.,13099,neutral,conversational,
1901413807454666924,2025-03-16T23:22:32.000000Z,Good idea,182891,positive,standard,
1901409234798907568,2025-03-16T23:04:22.000000Z,@WesternLensman Groan,3445,neutral,conversational,
1901392564776739187,2025-03-16T21:58:08.000000Z,@Eric_Schmitt 💯😂,2143,neutral,conversational,
1901392047463903486,2025-03-16T21:56:04.000000Z,Such is my nature,60422,neutral,standard,
1901391795097047395,2025-03-16T21:55:04.000000Z,@MsMelChen Exactly,1414,neutral,conversational,
1901391446004928697,2025-03-16T21:53:41.000000Z,@teslaownersSV It was definitely him. What a coward.,4334,neutral,conversational,
1901383630678524205,2025-03-16T21:22:38.000000Z,🎯🤣,316289,neutral,standard,
1901380871732461841,2025-03-16T21:11:40.000000Z,@WholeMarsBlog The legacy media is making people so crazy that they’re firebombing Tesla Superchargers!,3981,neutral,"exclamatory, conversational","crazy, people"
1901379732253319171,2025-03-16T21:07:08.000000Z,@LukeSlywaker 🔥😂,1161,neutral,conversational,
1901379371899727989,2025-03-16T21:05:42.000000Z,@RichardRyan Nice,1613,positive,conversational,
1901379262567059530,2025-03-16T21:05:16.000000Z,@edwards345 That was cool,1236,neutral,conversational,cool
1901379036678627721,2025-03-16T21:04:22.000000Z,@isaiah_p_taylor 😜,1157,neutral,conversational,
1901378771825160666,2025-03-16T21:03:19.000000Z,@LauraLoomer @realDonaldTrump @NPR Wow,6729,neutral,conversational,wow
1901378548817863100,2025-03-16T21:02:26.000000Z,@markpinc Makes sense,1033,neutral,conversational,
1901298811579797668,2025-03-16T15:45:35.000000Z,@mrddmia Impeach,6229,neutral,conversational,
1901298430107889730,2025-03-16T15:44:04.000000Z,@nayibbukele Much appreciated,30906,positive,conversational,
1901297596464849370,2025-03-16T15:40:46.000000Z,Massive problem. Being fixed.,154736,negative,standard,
1901297461093642262,2025-03-16T15:40:13.000000Z,The public is wise to the Democratic Party scams and their funding via bogus taxpayer-funded NGOs is being turned off,157932,positive,standard,
1901296748020064762,2025-03-16T15:37:23.000000Z,@nayibbukele 😂,15808,neutral,conversational,
